implementacao,leitores,escritores,mediaMs
ReadersWriters,0,100,130
ReadersWriters,1,99,183
ReadersWriters,2,98,198
ReadersWriters,3,97,141
ReadersWriters,4,96,127
ReadersWriters,5,95,126
ReadersWriters,6,94,125
ReadersWriters,7,93,131
ReadersWriters,8,92,125
ReadersWriters,9,91,122
ReadersWriters,10,90,121
ReadersWriters,11,89,117
ReadersWriters,12,88,122
ReadersWriters,13,87,117
ReadersWriters,14,86,117
ReadersWriters,15,85,113
ReadersWriters,16,84,112
ReadersWriters,17,83,113
ReadersWriters,18,82,110
ReadersWriters,19,81,112
ReadersWriters,20,80,107
ReadersWriters,21,79,109
ReadersWriters,22,78,110
ReadersWriters,23,77,107
ReadersWriters,24,76,104
ReadersWriters,25,75,103
ReadersWriters,26,74,102
ReadersWriters,27,73,102
ReadersWriters,28,72,98
ReadersWriters,29,71,100
ReadersWriters,30,70,100
ReadersWriters,31,69,107
ReadersWriters,32,68,94
ReadersWriters,33,67,93
ReadersWriters,34,66,92
ReadersWriters,35,65,90
ReadersWriters,36,64,91
ReadersWriters,37,63,89
ReadersWriters,38,62,89
ReadersWriters,39,61,85
ReadersWriters,40,60,84
ReadersWriters,41,59,82
ReadersWriters,42,58,81
ReadersWriters,43,57,83
ReadersWriters,44,56,78
ReadersWriters,45,55,77
ReadersWriters,46,54,85
ReadersWriters,47,53,73
ReadersWriters,48,52,72
ReadersWriters,49,51,72
ReadersWriters,50,50,72
ReadersWriters,51,49,72
ReadersWriters,52,48,70
ReadersWriters,53,47,66
ReadersWriters,54,46,66
ReadersWriters,55,45,77
ReadersWriters,56,44,61
ReadersWriters,57,43,62
ReadersWriters,58,42,61
ReadersWriters,59,41,60
ReadersWriters,60,40,66
ReadersWriters,61,39,57
ReadersWriters,62,38,59
ReadersWriters,63,37,54
ReadersWriters,64,36,53
ReadersWriters,65,35,51
ReadersWriters,66,34,51
ReadersWriters,67,33,49
ReadersWriters,68,32,48
ReadersWriters,69,31,46
ReadersWriters,70,30,45
ReadersWriters,71,29,44
ReadersWriters,72,28,46
ReadersWriters,73,27,43
ReadersWriters,74,26,39
ReadersWriters,75,25,39
ReadersWriters,76,24,38
ReadersWriters,77,23,36
ReadersWriters,78,22,34
ReadersWriters,79,21,33
ReadersWriters,80,20,33
ReadersWriters,81,19,31
ReadersWriters,82,18,29
ReadersWriters,83,17,28
ReadersWriters,84,16,26
ReadersWriters,85,15,26
ReadersWriters,86,14,23
ReadersWriters,87,13,23
ReadersWriters,88,12,23
ReadersWriters,89,11,20
ReadersWriters,90,10,18
ReadersWriters,91,9,19
ReadersWriters,92,8,15
ReadersWriters,93,7,13
ReadersWriters,94,6,12
ReadersWriters,95,5,10
ReadersWriters,96,4,11
ReadersWriters,97,3,8
ReadersWriters,98,2,7
ReadersWriters,99,1,5
ReadersWriters,100,0,4
ExclusivoSimples,0,100,130
ExclusivoSimples,1,99,130
ExclusivoSimples,2,98,130
ExclusivoSimples,3,97,134
ExclusivoSimples,4,96,129
ExclusivoSimples,5,95,130
ExclusivoSimples,6,94,131
ExclusivoSimples,7,93,131
ExclusivoSimples,8,92,130
ExclusivoSimples,9,91,129
ExclusivoSimples,10,90,131
ExclusivoSimples,11,89,130
ExclusivoSimples,12,88,130
ExclusivoSimples,13,87,131
ExclusivoSimples,14,86,129
ExclusivoSimples,15,85,129
ExclusivoSimples,16,84,132
ExclusivoSimples,17,83,129
ExclusivoSimples,18,82,129
